log_id,date,engine_id,ata_chapter,component,text
LOG-1001,2025-08-05 04:02,85,72-20,Fan Module / Bypass,"Maintenance Debrief Engine 85 (Fan Module / Bypass, ATA 72-20): Crew reported anomaly. Finding: Water-in-fuel (WIF) sensor triggered during pre-flight; 0.5 cc of water found in low-point drain. Turbine Rear Frame strut repair per DER-approved repair scheme RS-495-X36. NDT re-check clear. Returned to service."
LOG-1002,2026-04-14 15:02,24,73-20,Engine Control (FADEC),Heavy Check C-Visit Finding | Engine 24 | Engine Control (FADEC): FADEC software exception code 0x4A31 — fuel control loop saturation at altitude relight attempt. Engineering disposition: Thrust reverser actuator replaced (PN: 817-C67). Full stow/deploy cycle tests × 5 — all within time limits.
LOG-1003,2025-11-18 21:02,23,72-20,Fan Module / Bypass,Shop Finding — Engine S/N 23 | Fan Module / Bypass: Impact damage to fan spinner cone; crack propagating from rivet hole confirmed by dye-penetrant check. Disposition: Oil cooler replaced (PN: 398-X96). System pressure-tested at 90 PSI for 10 minutes — zero leak. Oil serviced and engine run.
LOG-1004,2026-04-13 09:02,58,73-10,Fuel System,Pilot Report — Engine 58 (Fuel System): Seal degradation resulting in higher-than-expected secondary airflow bypass; labyrinth knife-edges worn. Corrective Action: P&D valve replaced (PN: 831-C60). Engine shutdown test × 3 confirms full closure within 1.5 s. Leak check clear.
LOG-1005,2025-09-20 22:02,76,72-60,Accessory Gearbox (AGB),Borescope Work Order | Engine 76 | Accessory Gearbox (AGB): Fan cowl door latch pin fractured; door opened in flight causing structural damage to leading edge. Outcome: Bleed check valve replaced (PN: 274-C44). Bleed system functional test at ground idle and max continuous — normal.
LOG-1006,2025-10-29 16:02,12,72-20,Low-Pressure Compressor (LPC / Booster),Routine Inspection of Low-Pressure Compressor (LPC / Booster) on Engine 12: High-pressure fuel pump discharge pressure 200 PSI below spec at max power; pump worn. Action Taken: Performed MCD chip analysis per Engineering Order EO-612-Z78; single isolated particle cleared by metallurgy. Ops check passed.
LOG-1007,2025-10-16 18:02,46,72-30,Variable Stator Vane (VSV) System,Routine Inspection of Variable Stator Vane (VSV) System on Engine 46: Thrust reverser sleeve failed to stow fully; blocker door hinge pin corroded and seized. Action Taken: Oil cooler replaced (PN: 662-C30). System pressure-tested at 90 PSI for 10 minutes — zero leak. Oil serviced and engine run.
LOG-1008,2025-09-29 00:02,19,72-30,Variable Stator Vane (VSV) System,Heavy Check C-Visit Finding | Engine 19 | Variable Stator Vane (VSV) System: VSV unison ring wear pin fractured; complete ring replaced per AMM 72-30-12. Engineering disposition: Starter replaced (PN: 971-B83); motoring check confirmed N2 rise rate meets AMM minimum. Start cycle tested × 3.
LOG-1009,2026-01-16 00:02,81,36-10,Bleed Air / Anti-Ice System,Engine 81 AOG Recovery — Bleed Air / Anti-Ice System (ATA 36-10): Pylon secondary structure skin crack found during heavy maintenance visit; crack length 3.2 in. Expedited action: Water-in-fuel system drained and flushed per AMM 73-10-07. Filter element replaced (PN: 880-X56). WIF sensor re-tested OK.
LOG-1010,2025-09-21 02:02,68,78-30,Thrust Reverser,ATA 78-30 | Engine 68: EGT margin trending -30 °C over 500 cycles; borescope confirms nozzle area growth due to tip rub. Igniter plug replaced (PN: 134-X79). Ignition system verified per AMM 74-10-00 — light-off within 10 seconds.
LOG-1011,2025-10-14 15:02,30,79-00,Oil System,Non-Routine Card NRC-1011 opened for Engine 30 Oil System. Finding: Core exhaust nozzle divergent flap hinge fractured; flap found kinematically jammed. Action: T2 sensor de-iced and anti-ice inlet heater power supply verified. FADEC fault cleared. Altitude relight test successful.
LOG-1012,2025-05-31 04:02,79,73-10,Fuel System,ACARS Engine Alert — Engine 79 Sensor S6: Micro-cracking observed on root attachment of HPC stage-2 blades; confirmed by fluorescent penetrant inspection (FPI). Ground team response: EGT harness replaced (PN: 584-B27). All thermocouple channels checked against reference — max split 12 °C. FADEC reset.
LOG-1013,2025-10-27 19:02,18,74-10,Starter / Ignition System,Routine Inspection of Starter / Ignition System on Engine 18: Heavy coking and carbon buildup observed on fuel nozzle atomizers — 4 of 24 nozzles below flow spec. Action Taken: Adjusted fuel-flow metering within FADEC software limits (ref SB 74-10-73-12). Cleared for revenue service.
LOG-1014,2025-10-12 03:02,7,73-10,Fuel System,Post-Flight Inspection Engine 7 (ATA 73-10): Foreign Object Damage (FOD) dent found on HPT stage-2 blade leading edge; depth measured at 0.015 in. Fan cowl latch replaced (PN: 920-Z61). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1015,2025-12-30 23:02,14,71-20,Engine Mounts / Pylon,ATA 71-20 | Engine 14: HPC stage-7 blade tip erosion reducing surge margin below EHM threshold. Engine inlet FOD inspection completed per post-bird-strike check sheet. All blades within blend limits. Returned to service.
LOG-1016,2026-05-19 09:02,85,74-10,Starter / Ignition System,Borescope Work Order | Engine 85 | Starter / Ignition System: Heavy coking and carbon buildup observed on fuel nozzle atomizers — 4 of 24 nozzles below flow spec. Outcome: Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1017,2025-12-02 11:02,77,72-50,High-Pressure Turbine (HPT),Heavy Check C-Visit Finding | Engine 77 | High-Pressure Turbine (HPT): FADEC software exception code 0x4A31 — fuel control loop saturation at altitude relight attempt. Engineering disposition: Component removed and replaced with serviceable unit (PN: 275-C97). Ground engine run and ops check normal.
LOG-1018,2026-02-07 18:02,10,72-20,Fan Module / Bypass,Non-Routine Card NRC-1018 opened for Engine 10 Fan Module / Bypass. Finding: HPT stage-2 nozzle guide vanes exhibit oxidation and hot-section erosion beyond serviceable limits. Action: Anti-ice valve replaced (PN: 238-X29) and system leak-checked at 45 PSI. Functional test confirmed valve cycling.
LOG-1019,2025-12-22 21:02,45,72-50,Turbine Rear Frame (TRF),Non-Routine Card NRC-1019 opened for Engine 45 Turbine Rear Frame (TRF). Finding: Fuel flowmeter reading 4% low vs. calibrated master; suspected sensor contamination. Action: Igniter plug replaced (PN: 635-X54). Ignition system verified per AMM 74-10-00 — light-off within 10 seconds.
LOG-1020,2025-08-13 01:02,85,72-20,Fan Module / Bypass,Engine 85 AOG Recovery — Fan Module / Bypass (ATA 72-20): High-pressure fuel pump discharge pressure 200 PSI below spec at max power; pump worn. Expedited action: Thrust reverser actuator replaced (PN: 457-B67). Full stow/deploy cycle tests × 5 — all within time limits.
LOG-1021,2025-06-19 02:02,17,71-10,Inlet / Nacelle,Trend Analysis Report — Engine 17 Inlet / Nacelle: Air turbine starter (ATS) drive shaft shear coupling failed during attempted engine start. Maintenance response: FADEC software updated to version 5.1.4 per SB 71-10-73-056. Ground test cycle confirms correct engine response.
LOG-1022,2026-04-21 21:02,13,72-60,Accessory Gearbox (AGB),"Non-Routine Card NRC-1022 opened for Engine 13 Accessory Gearbox (AGB). Finding: Excessive vibration recorded on the #2 bearing structural frame — 3.2 IPS pk-pk against limit of 2.5 IPS. Action: Replaced fuel nozzle set (24 nozzles, PN: 228-Z26). Engine ground run at idle and max continuous — EGT spread within 15 °C."
LOG-1023,2026-02-26 13:02,22,73-10,Fuel System,"Engine 22 AOG Recovery — Fuel System (ATA 73-10): ACARS transmitted unsolicited engine exceedance event; review confirmed sensor spike, not true exceedance. Expedited action: Deferred per MEL 73-10-01. Performance monitoring required every 50 flight cycles; trend reviewed at each check."
LOG-1024,2026-02-21 06:02,78,72-50,Turbine Rear Frame (TRF),Engine 78 AOG Recovery — Turbine Rear Frame (TRF) (ATA 72-50): Bleed duct insulation blanket missing from 18-inch section; risk of overheat on adjacent hydraulic line. Expedited action: Fan acoustic liner panel repaired with structural film adhesive per AMM 71-10-04 (PN: 402-B25). Tap test confirms no further delamination.
LOG-1025,2026-02-09 20:02,68,71-10,Inlet / Nacelle,Line Maintenance Write-Up #1025 | Inlet / Nacelle (ATA 71-10): Customer bleed air duct found cracked at flex-joint flange; hot-air leak confirmed by thermal camera. Resolution: Engine mount bushings replaced per AMM 71-20-01 (PN: 142-X74). Alignment checked; free-play within 0.008 in limit.
LOG-1026,2026-05-21 13:02,66,73-10,Fuel System,Borescope Work Order | Engine 66 | Fuel System: Fuel flowmeter reading 4% low vs. calibrated master; suspected sensor contamination. Outcome: Thermal camera survey performed per AMM 36-10-00; bleed air leak confirmed and duct replaced (PN: 816-B10).
LOG-1027,2026-04-22 07:02,45,72-50,High-Pressure Turbine (HPT),Trend Analysis Report — Engine 45 High-Pressure Turbine (HPT): Combustor liner TBC spallation exposing parent metal in hot-spot region; liner at life limit. Maintenance response: Removed and routed to off-site MRO shop for full overhaul (work order WO-784-B56). Installed serviceable spare.
LOG-1028,2026-04-25 21:02,3,74-10,Starter / Ignition System,ATA 74-10 | Engine 3: Bleed duct insulation blanket missing from 18-inch section; risk of overheat on adjacent hydraulic line. Fan cowl latch replaced (PN: 721-C76). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1029,2026-04-27 17:02,65,78-30,Exhaust / Nozzle,Auto-Alert on Sensor S8 (Engine 65). Actuator linkage found binding during manual operational check; jam nut backed off causing misalignment. Performed MCD chip analysis per Engineering Order EO-863-A82; single isolated particle cleared by metallurgy. Ops check passed.
